word,tag,frequency,keepornot
combination,NN,194,1
expand,VB,194,1
Quiz,NNP,194,1
GAMES,NNP,194,1
warriors,NNS,194,1
Marvel,NNP,194,1
online,VBP,194,1
acceptance,NN,193,1
choose,VBP,193,1
traps,NNS,193,1
Go,NNP,193,1
random,NN,193,1
correct,JJ,193,1
studio,NN,193,1
advantage,NN,192,1
Bubble,NNP,192,1
MODE,NNP,192,1
please,JJ,192,1
sense,NN,192,1
In-app,JJ,192,1
greatest,JJS,192,1
marks,NNS,191,1
NO,NNP,191,1
several,JJ,191,1
show,NN,191,1
Available,JJ,191,1
Thanks,NNS,191,1
Visit,VB,191,1
thrilling,VBG,191,1
Pro,NNP,191,1
gaming,VBG,190,1
careful,JJ,190,1
town,NN,190,1
Contact,NNP,190,1
distinctive,JJ,190,1
Quest,NNP,190,1
finish,VB,190,1
Day,NNP,190,1
week,NN,189,1
Food,NNP,189,1
cute,NN,189,1
Draw,NNP,189,1
current,JJ,189,1
Card,NNP,189,1
guitar,NN,188,1
O2Jam,NNP,188,1
Collect,VB,188,1
vehicles,NNS,188,1
wheel,NN,188,1
regular,JJ,188,1
starts,VBZ,188,1
hit,NN,188,1
Dark,NNP,187,1
IGN,NNP,187,1
outfits,NNS,187,1
YouTube,NNP,187,1
Memory,NNP,187,1
partners.-,NN,187,1
categories,NNS,187,1
Design,NNP,187,1
Blast,NNP,187,1
controls,VBZ,186,1
platform,NN,186,1
runner,NN,186,1
sets,NNS,186,1
meet,VB,186,1
iconic,JJ,186,1
agree,VBP,186,1
pass,VB,186,1
bets,NNS,186,1
Players,NNS,185,1
product,NN,185,1
question,NN,185,1
Strategy,NNP,185,1
States,NNPS,185,1
partners,NNS,185,1
Daily,JJ,185,1
Even,RB,185,1
hair,NN,185,1
hint,NN,184,1
//www.gameloft.com/conditions/End,NN,184,1
technical,JJ,184,1
Age,NNP,184,1
restore,VB,184,1
Ice,NNP,184,1
air,NN,184,1
create,VBP,184,1
stories,NNS,184,1
racing,VBG,184,1
Amazing,NNP,184,1
Empire,NNP,183,1
Page,NN,183,1
Disney,NNP,183,1
Are,VBP,183,1
results,NNS,183,1
recommended,VBN,183,1
constantly,RB,182,1
Piano,NNP,182,1
tell,VB,182,1
travel,NN,181,1
Brazilian,JJ,181,1
//www.youtube.com/GameloftDiscover,VB,181,1
regarding,VBG,180,1
black,JJ,180,1
safe,JJ,180,1
FIND,NNP,180,1
daily,RB,180,1
await,VBP,180,1
Ball,NNP,180,1
Live,NNP,179,1
Experience,NNP,179,1
Dutch,NNP,179,1
Tablet,NNP,179,1
tile,NN,179,1
www.glu.com,NN,179,1
styles,NNS,179,1
achieve,VB,179,1
matching,VBG,179,1
recommend,VBP,178,1
offers,NNS,178,1
crush,VB,178,1
Grand,NNP,178,1
downloads,NNS,178,1
FOLLOW,NNP,178,1
track,NN,178,1
reward,NN,178,1
year,NN,178,1
Game,NN,178,1
Message,NN,178,1
Awesome,NNP,178,1
Endless,NNP,177,1
trivia,NN,177,1
Street,NNP,177,1
gets,VBZ,177,1
arcade,NN,177,1
cute,JJ,177,1
Boss,NNP,177,1
suitable,JJ,176,1
like,VB,176,1
Awards,NNP,175,1
Tee,NNP,175,1
bigger,JJR,175,1
link,VB,175,1
chat,NN,175,1
compare,VB,175,1
flying,VBG,175,1
doing,VBG,175,1
],NN,175,1
Permission,NN,175,1
activities,NNS,175,1
stuck,VBN,174,1
increasing,VBG,174,1
book,NN,174,1
Let,NNP,174,1
SEGA,NNP,174,1
Three,NNP,174,1
Words,NNP,174,1
update,NN,174,1
else,RB,173,1
RAM,NNP,173,1
retire,VB,173,1
Fast,NNP,173,1
Sonic,NNP,173,1
energy,NN,173,1
care,NN,173,1
seconds,NNS,172,1
hordes,NNS,172,1
leave,VB,172,1
automatically,RB,172,1
Menu,NNP,172,1
Please,VB,172,1
Create,VB,172,1
mini,NN,172,1
fingers,NNS,172,1
worry,VB,172,1
corner,NN,172,1
swipe,NN,172,1
channel,NN,172,1
birds,NNS,172,1
thing,NN,172,1
MORE,JJR,171,1
minutes,NNS,171,1
added,VBD,171,1
My,NNP,171,1
practice,NN,171,1
Achievements,NNS,171,1
enough,JJ,171,1
especially,RB,171,1
moment,NN,170,1
jungle,NN,170,1
improving,VBG,170,1
Email,NNP,170,1
ABOUT,NNP,170,1
instead,RB,170,1
role,NN,170,1
VISIT,NNP,170,1
fast-paced,JJ,170,1
FPS,NNP,170,1
perfect,NN,170,1
playable,JJ,169,1
assistance,NN,169,1
road,NN,169,1
start,VBP,169,1
conditions,NNS,169,1
box,NN,169,1
open,VB,169,1
point,NN,169,1
Stars,NNP,168,1
America,NNP,168,1
form,NN,168,1
movements,NNS,168,1
titles,NNS,168,1
down,RB,168,1
level,VB,168,1
dance,NN,168,1
candies,NNS,168,1
company,NN,168,1
miss,VB,168,1
platforms,NNS,168,1
maximum,JJ,168,1
carrier,NN,168,1
better,RBR,168,1
***,NNP,167,0
Intuitive,NNP,167,1
strength,NN,167,1
extremely,RB,167,1
setting,VBG,167,1
Hunter,NNP,167,1
requests,NNS,167,1
growing,VBG,167,1
means,VBZ,166,1
Black,NNP,166,1
boys,NNS,166,1
looks,VBZ,165,1
friends,VBZ,165,1
youll,RB,165,1
job,NN,165,1
Journey,NNP,165,1
Dress,NNP,165,1
clothes,NNS,164,1
[,NN,164,0
Consumer,NNP,164,1
icon,NN,164,1
alive,JJ,164,1
Space,NNP,164,1
Watch,VB,164,1
CHALLENGE,NNP,164,1
adjusting,VBG,164,1
Go,VB,164,1
http,JJ,164,1
movies,NNS,163,1
properties,NNS,163,1
dungeons,NNS,163,1
help,VBP,163,1
dungeon,NN,163,1
moments,NNS,163,1
suits,NNS,163,1
enter,VB,163,1
Family,NNP,163,1
defenses,NNS,163,1
**,JJ,163,0
fruit,NN,162,1
provides,VBZ,162,1
Beat,NNP,162,1
setup,NN,162,1
shoot,VB,162,1
collect,JJ,162,1
say,VB,162,1
unleash,VB,162,1
surprise,NN,162,1
Achievements,NNP,162,1
atTwitter,NN,162,1
Enter,NNP,162,1
mini-games,NNS,162,1
human,JJ,162,1
identify,VB,162,1
giving,VBG,162,1
beforehand,NN,162,1
call,VB,161,1
direction,NN,161,1
Halloween,NNP,161,1
short,JJ,161,1
step,NN,161,1
sign,NN,160,1
rifles,NNS,160,1
arsenal,NN,160,1
Meet,NNP,160,1
jewels,NNS,160,1
Add,NNP,160,1
kid,NN,160,1
backgrounds,NNS,160,1
perform,VB,160,1
award-winning,JJ,160,1
shown,VBN,159,1
experiences,NNS,159,1
SONIC,NNP,159,1
smart,JJ,159,1
tricks,NNS,159,1
Diamond,NNP,159,1
similar,JJ,159,1
tricky,JJ,159,1
Follow,VBP,159,1
less,JJR,159,1
hidden,NN,158,1
group,NN,158,1
all-new,JJ,158,1
directions,NNS,158,1
beautifully,RB,158,1
Spades,NNP,158,1
review,NN,158,1
rhythm,NN,158,1
persistent,JJ,158,1
ParentsThis,NNP,158,1
PIN,NNP,157,1
Attack,NNP,157,1
health,NN,157,1
date,NN,157,1
Group,NNP,157,1
mix,NN,157,1
Gamer,NNP,157,1
symbols,NNS,157,1
Keep,VB,157,1
second,JJ,157,1
BATTLE,NNP,157,1
destruction,NN,156,1
optimal,JJ,156,1
EA,NNP,156,1
***,NN,156,0
beginners,NNS,156,1
posted,VBD,156,1
Upgrade,VB,156,1
musical,JJ,156,1
NOTE,NNP,156,1
@,VBP,156,0
someone,NN,156,1
Nexus,NNP,155,1
band,NN,155,1
fights,NNS,155,1
RTS,NNP,155,1
surprises,NNS,155,1
Customer,NNP,155,1
cost,NN,155,1
Tons,NNS,155,1
Shoot,NNP,155,1
tasks,NNS,155,1
definitely,RB,155,1
Try,NNP,154,1
preschool,NN,154,1
imagination,NN,154,1
WIN,NNP,154,1
stores,NNS,154,1
treasures,NNS,154,1
ingredients,NNS,154,1
practices,NNS,154,1
audio,NN,154,1
Real,JJ,154,1
profile,NN,154,1
accessible,JJ,153,1
force,NN,153,1
robot,NN,153,1
king,NN,153,1
Rummy,NNP,153,1
reveal,VB,153,1
G5,NNP,153,1
kitchen,NN,153,1
chapters,NNS,152,1
artists,NNS,152,1
claim,VB,152,1
Craft,NNP,152,1
animation,NN,152,1
stylish,JJ,152,1
Various,JJ,152,1
increasingly,RB,152,1
gamers,NNS,152,1
Become,NNP,152,1
leave,VBP,151,1
networks,NNS,151,1
ALL,NNP,151,1
climb,VB,151,1
Snake,NNP,151,1
greater,JJR,151,1
Hasbro,NNP,151,1
row,NN,151,1
obtain,VB,151,1
cartoon,NN,151,1
rest,NN,151,1
COLLECT,NNP,151,1
easier,JJR,151,1
Hero,NNP,151,1
parts,NNS,151,1
selected,VBN,151,1
challenges,VBZ,151,1
goals,NNS,151,1
lands,NNS,151,1
resolution,NN,150,1
aware,JJ,150,1
Farm,NNP,150,1
inspired,VBN,150,1
Spin,NNP,150,1
simulation,NN,150,1
places,NNS,150,1
necessary,JJ,150,1
fantasy,NN,150,1
form,VB,150,1
learn,VBP,150,1
suit,VB,150,1
break,VB,150,1
Board,NNP,150,1
connectivity,NN,150,1
islands,NNS,149,1
Mahjong,NNP,149,1
Multiple,NNP,149,1
evolve,VB,149,1
notice,RB,149,1
offline,JJ,149,1
diverse,JJ,149,1
Jungle,NNP,149,1
ahead,RB,148,1
Dots,NNP,148,1
lose,VB,148,1
spells,NNS,148,1
train,NN,148,1
notifications,NNS,148,1
PC,NN,148,1
Clash,NNP,148,1
suit,NN,148,1
Om,NNP,148,1
Hundreds,NNS,148,1
Indie,NNP,148,1
girl,NN,148,1
fresh,JJ,147,1
consider,VB,147,1
case,NN,147,1
hotels,NNS,147,1
Adventure,NN,147,1
Offline,NNP,147,1
WiFi,NNP,147,1
switch,VB,147,1
Having,VBG,147,1
Swipe,NNP,147,1
sniper,NN,147,1
champion,NN,147,1
Support,NN,146,1
EPIC,NNP,146,1
ideas,NNS,146,1
S,NNP,146,0
alike,RB,146,1
Math,NNP,146,1
Walking,NNP,146,1
Available,NNP,146,1
intelligence,NN,146,1
site.Privacy,NN,145,1
prizes,NN,145,1
boosts,NNS,145,1
drawing,VBG,145,1
Classic,JJ,145,1
attack,VB,145,1
Contact,VB,145,1
statistics,NNS,145,1
plenty,NN,145,1
affiliates,NNS,145,1
Royal,NNP,145,1
walls,NNS,145,1
task,NN,145,1
Mo,NNP,145,1
worldwide,VBP,145,1
babies,NNS,145,1
Heroes,NNS,145,1
larger,JJR,145,1
Ltd.,NNP,145,1
glumobilefacebook.com/glumobile,NN,145,1
Hundreds,NNP,144,1
Buy,NNP,144,1
Games,NNS,144,1
+,JJ,144,1
Sound,NNP,144,1
moving,VBG,144,1
thrill,NN,144,1
assault,NN,144,1
Media,NNP,143,1
Global,NNP,143,1
Queen,NNP,143,1
theme,NN,143,1
creating,VBG,143,1
bit,NN,143,1
Solve,NNP,143,1
IT,NNP,143,1
generated,VBN,143,1
contains,NNS,143,1
Customize,NNP,143,1
Boo,NNP,143,1
spin,NN,143,1
ranks,NNS,142,1
addicting,VBG,142,1
Customize,VB,142,1
galaxy,NN,142,1
heart,NN,142,1
villains,NNS,142,1
Invite,NNP,142,1
had,VBD,142,1
helping,VBG,142,1
hot,JJ,142,1
Mini,NNP,142,1
research,NN,142,1
ad,NN,142,1
Stickman,NNP,142,1
Russian,JJ,141,1
over,RP,141,1
sounds,VBZ,141,1
fantasy,JJ,141,1
Stay,NNP,141,1
fighting,NN,141,1
Guild,NNP,141,1
photo,NN,141,1
Stunning,VBG,141,1
Life,NNP,141,1
subsequent,JJ,140,1
flight,NN,140,1
N,NNP,140,0
roll,NN,140,1
[,VB,140,0
Challenges,NNP,140,1
analytics,NNS,140,1
come,VBN,140,1
solution,NN,140,1
general,JJ,140,1
restaurants,NNS,140,1
artwork,NN,139,1
Every,NNP,139,1
ship,NN,139,1
TIME,NNP,139,1
ships,NNS,139,1
MORE,NNP,139,1
contents,NNS,139,1
mysteries,NNS,139,1
starting,VBG,139,1
Will,NNP,139,1
agreeing,VBG,139,1
enable,JJ,139,1
Wizard,NNP,139,1
state,NN,139,1
Fiete,NNP,138,1
Allows,VBZ,138,1
photos,NNS,138,1
Want,VBP,138,1
final,JJ,138,1
compatible,JJ,138,1
apply.FOLLOW,VB,138,0
chapter,NN,138,1
Baby,NNP,138,1
place,VB,138,1
blast,NN,138,1
EAs,NNP,138,1
Dance,NNP,137,1
Pinball,NNP,137,1
fix,VB,137,1
Shop,NNP,137,1
release,NN,137,1
Requires,VBZ,137,1
fruits,NNS,137,1
red,JJ,137,1
try,NN,137,1
double,JJ,137,1
message,NN,137,1
upper,JJ,137,1
start,NN,137,1
fine,JJ,137,1
Help,VB,137,1
distinct,JJ,137,1
Reserved,NNP,137,1
decorations,NNS,137,1
smooth,JJ,136,1
dash,NN,136,1
boards,NNS,136,1
Drum,NNP,136,1
mini,JJ,136,1
ups,NNS,136,1
responsible,JJ,136,1
spins,NNS,136,1
Sniper,NNP,136,1
competitive,JJ,136,1
hearts,NNS,136,1
draw,VB,136,1
major,JJ,135,1
entertaining,VBG,135,1
needs,NNS,135,1
updated,VBN,135,1
costumes,NNS,135,1
glory,NN,135,1
Gun,NNP,135,1
quite,RB,135,1
Put,VB,135,1
simple,NN,135,1
unique,NN,135,1
Double,NNP,134,1
screen,JJ,134,1
sky,NN,134,1
stuff,NN,134,1
//play.google.com/store/apps/dev,NN,134,0
ground,NN,134,1
dishes,NNS,134,1
suggestion,NN,134,1
target,NN,134,1
Jackpot,NNP,134,1
Monsters,NNP,133,1
enable,VB,133,1
designs,NNS,133,1
teams,NNS,133,1
exotic,JJ,133,1
Chat,NNP,133,1
Sony,NNP,133,1
custom,NN,133,1
rivals,NNS,133,1
balls,NNS,133,1
challenging,NN,133,1
Do,VB,133,1
THANK,NN,133,1
drum,NN,133,1
Show,NNP,133,1
NOT,NNP,132,1
Chef,NNP,132,1
fate,NN,132,1
Pokmon,NNP,132,1
twist,NN,132,1
member,NN,132,1
LEVELS,NNP,132,1
eye,NN,132,1
ensure,VB,131,1
odds,NNS,131,1
feed,VB,131,1
Ads,NNP,131,1
run,NN,131,1
Brain,NNP,131,1
serve,VB,131,1
fellow,JJ,131,1
Pig,NNP,131,1
around,RB,131,1
regularly,RB,131,1
Nom,NNP,131,1
hit,VBD,130,1
intended,VBD,130,1
license,NN,130,1
Realistic,JJ,130,1
cat,NN,130,1
Is,VBZ,130,1
aim,NN,130,1
Here,RB,130,1
currently,RB,130,1
Swedish,NNP,130,1
buying,VBG,130,1
thinking,NN,129,1
combos,NNS,129,1
PLEASE,NNP,129,1
dark,NN,129,1
face,VB,129,1
runs,VBZ,129,1
ancient,JJ,129,1
Do,NNP,129,1
customizable,JJ,129,1
spend,VB,128,1
say,VBP,128,1
crafted,VBN,128,1
Let,VB,128,1
beauty,NN,128,1
Cloud,NNP,128,1
hello,NN,128,1
trouble,NN,128,1
storyline,NN,128,1
unlock,VBP,128,1
Dominoes,NNP,128,1
Leaderboard,NNP,128,1
operations,NNS,127,1
Easily,RB,127,1
Fire,NNP,127,1
TutoTOONS,NNP,127,1
area,NN,127,1
disabling,VBG,127,1
respond,VB,127,1
Different,NNP,127,1
taking,VBG,127,1
thanks,NNS,127,1
business,NN,127,1
Rights,NNPS,127,1
Official,JJ,127,1
wild,JJ,127,1
wisely,RB,127,1
total,JJ,126,1
install,VB,126,1
Love,NNP,126,1
write,VB,126,1
connect,VBP,126,1
door,NN,126,1
favourite,JJ,126,1
controller,NN,126,1
wireless,NN,126,1
Edition,NNP,126,1
Keep,NNP,126,1
everywhere,RB,126,1
+,NNP,125,0
face,NN,125,1
offer,VBP,125,1
Drag,NNP,125,1
premium,JJ,125,1
Veemee,NNP,125,1
face,VBP,125,1
Find,VBP,125,1
House,NNP,125,1
animal,JJ,125,1
nice,JJ,125,1
Winner,NNP,125,1
professional,JJ,125,1
GAMEPLAY,NNP,125,1
Amazing,JJ,125,1
ARE,NNP,125,1
newsletter,NN,124,1
common,JJ,124,1
anytime,NN,124,1
hidden,VBN,124,1
rank,NN,124,1
Ladder,NNP,124,1
allow,VBP,124,1
ask,VB,124,1
Your,NNP,124,1
Survival,NNP,124,1
collects,VBZ,124,1
grab,VB,123,1
Simple,JJ,123,1
wins,NNS,123,1
clear,VB,123,1
touch,VB,123,1
matter,NN,123,1
clever,NN,123,1
numerous,JJ,123,1
digital,JJ,123,1
focus,VB,123,1
death,NN,123,1
memories,NNS,123,1
Puzzles,NNP,123,1
avatars,NNS,123,1
SD,NNP,122,1
Up,NNP,122,1
Knights,NNP,122,1
progress,VBP,122,1
territory,NN,122,1
longer,JJR,122,1
included,VBN,122,1
spelling,VBG,122,1
Spider,NNP,122,1
position,NN,122,1
spectacular,JJ,122,1
category,NN,122,1
included,VBD,121,1
action-packed,JJ,121,1
bases,NNS,121,1
win,NN,121,1
truly,RB,121,1
according,VBG,121,1
pop,NN,121,1
Editor,NNP,121,1
U,NNP,121,1
APP,NNP,121,1
adorable,JJ,121,1
objectives,NNS,121,1
Many,JJ,121,1
bad,JJ,120,1
giant,JJ,120,1
personalize,VB,120,1
treats,NNS,120,1
rescue,VB,120,1
prison,NN,120,1
BANDAI,NNP,120,1
Panda,NNP,120,1
Download,NN,120,1
survivors,NNS,120,1
participate,VB,120,1
Slot,NNP,120,1
coin,NN,119,1
Designed,VBN,119,1
VIP,NNP,119,1
Hard,NNP,119,1
loves,VBZ,119,1
key,JJ,119,1
warfare,NN,119,1
invite,VB,119,1
childhood,NN,119,1
creator,NN,119,1
key,NN,119,1
wants,VBZ,119,1
smartphone,NN,119,1
Year,NNP,119,1
classes,NNS,119,1
excitement,NN,119,1
strongest,JJS,119,1
Phone,NNP,119,1
learning,NN,118,1
killing,VBG,118,1
did,VBD,118,1
Face,NNP,118,1
transfer,NN,118,1
Good,JJ,118,1
push,VB,118,1
plays,VBZ,118,1
crossword,NN,118,1
planets,NNS,118,1
independent,JJ,118,1
YOUR,JJ,118,1
Climb,NNP,117,1
*,VBD,117,0
arcade,JJ,117,1
stakes,NNS,117,1
Defeat,NNP,117,1
quiz,JJ,117,1
NEW,JJ,117,1
field,NN,117,1
Simplified,NNP,117,1
period,NN,117,1
perfectly,RB,117,1
market,NN,117,1
reach,VBP,117,1
Experience,NN,117,1
jackpot,NN,117,1
Learn,VB,117,1
actual,JJ,117,1
Test,NNP,117,1
devastating,VBG,117,1
pixel,NN,116,1
UNIQUE,NNP,116,1
delete,VB,116,1
farm,NN,116,1
laws,NNS,116,1
almost,RB,116,1
Red,NNP,116,1
Dungeon,NNP,116,1
sequel,NN,116,1
Top,JJ,116,1
camera,NN,116,1
randomly,RB,116,1
Original,NNP,116,1
eyes,NNS,116,1
Escape,NNP,116,1
Information,NNP,116,1
Take,NNP,115,1
Travel,NNP,115,1
rating,NN,115,1
Networks,NNP,115,1
READ_PHONE_STATE,NNP,115,1
Slide,NNP,115,1
back,RP,115,1
impossible,JJ,115,1
Services,NNPS,115,1
Simply,NNP,115,1
Compare,NNP,115,1
choices,NNS,115,1
Version,NNP,115,1
Kill,NNP,115,1
Command,NNP,114,1
title,NN,114,1
killer,NN,114,1
arena,NN,114,1
Perfect,NNP,114,1
piece,NN,114,1
Speed,NNP,114,1
background,NN,114,1
sword,NN,114,1
released,VBN,114,1
external,JJ,114,1
trip,NN,114,1
completed,VBN,114,1
communicate,VB,114,1
streets,NNS,114,1
Castle,NNP,114,1
dont,JJ,114,0
motor,NN,113,1
logos,NNS,113,1
integration,NN,113,1
Once,RB,113,1
NAMCO,NNP,113,1
Story,NN,113,1
shoes,NNS,113,1
brands,NNS,113,1
update,VB,113,1
rewarded,VBN,113,1
becomes,VBZ,113,1
identifiers,NNS,113,1
difficulties,NNS,113,1
connect,NN,113,1
Action,NNP,113,1
live,VBP,112,1
adventurous,JJ,112,1
either,RB,112,1
become,VBP,112,1
youll,NN,112,1
princess,NN,112,1
fight,VBP,112,1
Other,JJ,112,1
competitors,NNS,112,1
>,VBP,112,0
works,VBZ,112,1
JOIN,NNP,112,1
prevent,VB,112,1
useful,JJ,112,1
Sign,NNP,112,1
provide,VBP,112,1
low,JJ,112,1
Gaming,NNP,112,1
bingo,JJ,112,1
show,VBP,112,1
started,VBD,112,1
feel,NN,112,1
following,VBG,112,1
Stratego,NNP,112,1
bug,NN,112,1
hungry,JJ,111,1
Matches,NNP,111,1
press,NN,111,1
episodes,NNS,111,1
Alliance,NNP,111,1
realm,NN,111,1
pigs,NNS,111,1
recipes,NNS,111,1
avatar,NN,111,1
applications,NNS,111,1
guide,VB,111,1
shot,NN,111,1
Tap,VB,111,1
files,NNS,110,1
serious,JJ,110,1
Jelly,NNP,110,1
drop,VB,110,1
correctly,RB,110,1
Gameplay,NNP,110,1
pirates,NNS,110,1
Lets,NNP,110,1
Jedi,NNP,110,1
TabTale,NNP,110,1
combos,NN,110,1
levels-,JJ,110,1
fish,NN,110,1
contact,JJ,110,1
join,NN,110,1
motion,NN,109,1
FOLLOW,VBP,109,1
tap,VBD,109,1
Water,NNP,109,1
forest,JJS,109,1
hunting,VBG,109,1
See,NNP,109,1
unlocking,VBG,109,1
WATCH,NNP,109,1
Bubble,JJ,109,1
endless,NN,109,1
C,NNP,109,0
First,NNP,109,1
combined,VBN,108,1
installing,VBG,108,1
Style,NNP,108,1
away,RP,108,1
Quick,NNP,108,1
FROM,NNP,108,1
enjoyed,VBN,108,1
EU,NNP,108,1
decorate,VB,108,1
wars,NNS,108,1
eat,VB,108,1
developers,NNS,108,1
Co.,NNP,108,1
heavy,JJ,108,1
forward,RB,108,1
light,NN,108,1
childrens,NNS,108,1
often,RB,108,1
previous,JJ,108,1
jewel,NN,108,1
slow,JJ,108,1
block,NN,108,1
exactly,RB,108,1
gmail.com,NN,108,0
done,VBN,107,0
touching,VBG,107,1
throne,NN,107,1
cool,NN,107,1
'm,VBP,107,0
evil,NN,107,1
Not,RB,107,1
Must,NNP,107,1
Block,NNP,107,1
Smooth,NNP,107,1
scenarios,NNS,107,1
Garfield,NNP,107,1
finally,RB,107,1
plan,NN,107,1
joy,NN,107,1
lower,JJR,107,1
ABC,NNP,107,1
finding,VBG,107,1
toys,NNS,107,1
EXPERIENCE,NNP,106,1
drop,NN,106,1
Room,NNP,106,1
Fortune,NNP,106,1
saved,VBN,106,1
free-to-play,JJ,106,0
families,NNS,106,1
wait,VB,106,1
instruments,NNS,106,1
Granny,NNP,106,1
Location,NNP,106,1
Top,NNP,106,1
boxes,NNS,106,1
updates,VBZ,106,1
Wi-Fi,NNP,106,0
movement,NN,106,1
clan,NN,106,1
hits,NNS,106,1
Line,NNP,106,1
Log,NNP,106,1
quirky,JJ,106,1
tanks,NNS,106,1
UNLOCK,NNP,106,1
guild,NN,106,1
flowers,NNS,106,1
registered,JJ,105,1
Memory,NN,105,1
applicable,JJ,105,1
FEATURES,NN,105,1
Modes,NNP,105,1
~,NN,105,0
Outfit7,NNP,105,1
Playing,VBG,105,1
Have,NNP,105,1
inquiries.EA,NN,105,1
guess,NN,105,1
AN,NNP,105,1
shoot,NN,105,1
facebook,NN,105,1
packed,VBD,105,1
comics,NNS,105,1
raise,VB,105,1
toy,NN,105,1
lists,NNS,105,1
manage,NN,105,1
Blitz,NNP,105,1
office,NN,105,1
screens,NNS,105,1
visiting,VBG,105,1
International,NNP,105,1
freedom,NN,105,1
Lots,NNP,105,1
purchasing,VBG,105,1
real-time,NN,105,1
GRAPHICS,NNP,105,1
Flow,NNP,105,1
am,VBP,105,0
tale,NN,104,1
ranging,VBG,104,1
Wan,NNP,104,1
theres,VBZ,104,1
wish,VB,104,1
aid,VB,104,1
Wheel,NNP,104,1
turns,NNS,104,1
instantly,RB,104,1
Android.Use,NNP,104,1
chain,NN,104,1
upcoming,JJ,104,1
brought,VBN,104,1
fastest,JJS,104,1
level,VBP,104,1
EASY,NNP,104,1
ONLINE,NNP,104,1
played,VBD,104,1
changes,NNS,103,1
shape,NN,103,1
continuously,RB,103,1
require,VBP,103,1
High,JJ,103,1
Papa,NNP,103,1
animated,JJ,103,1
Based,VBN,103,1
Turkish,NNP,103,1
appears,VBZ,103,1
Color,NNP,103,1
dress,NN,103,1
Various,NNP,103,1
tapping,VBG,103,1
Cut,NNP,103,1
track,VB,103,1
complete,VBP,103,1
earth,NN,103,1
fairy,JJ,103,1
cant,VBP,103,1
Beautiful,JJ,103,1
tasty,JJ,103,1
shows,VBZ,103,1
Sometimes,RB,103,1
Legend,NNP,103,1
model,NN,103,1
//play.google.com/store/apps/details,NNS,103,0
fabulous,JJ,103,1
hard,RB,103,1
balance,NN,103,1
precious,JJ,103,1
Pick,NNP,102,1
rounds,NNS,102,1
bird,NN,102,1
crime,NN,102,1
watching,VBG,102,1
knights,NNS,102,1
Us,NNP,102,1
patterns,NNS,102,1
Easy,JJ,102,1
status,NN,102,1
before,RB,102,1
Guide,NNP,102,1
authentic,JJ,102,1
Sky,NNP,102,1
Recruit,NNP,102,1
leading,VBG,102,1
Clan,NNP,102,1
trick,NN,102,1
chances,NNS,102,1
Never,NNP,102,1
Burger,NNP,102,1
unlock,NN,102,1
spot,NN,102,1
equip,VB,102,1
enabled,VBN,102,1
click,NN,101,1
~,JJ,101,0
further,JJ,101,1
rankings,NNS,101,1
improvements,NNS,101,1
Supplemental,NNP,101,1
call,NN,101,1
skin,NN,101,1
youve,NN,101,1
scene,NN,101,1
www.facebook.com/g5games,NNS,101,0
pirate,NN,101,1
description,NN,101,1
bright,JJ,100,1
Purchases,NNS,100,1
legend,NN,100,1
plants,NNS,100,1
vehicle,NN,100,1
puzzles,VBZ,100,1
enemy,JJ,100,1
balloons,NNS,100,1
rule,NN,100,1
ranges,NNS,100,1
Governor,NNP,100,1
Questions,NNS,100,1
riddles,NNS,100,1
try,VBP,100,1
Everyone,NN,100,1
cooking,NN,100,1
kingdoms,NNS,100,1
Special,NNP,100,1
quest,JJS,100,1
record,VB,100,1
impressive,JJ,100,1
Guitar,NNP,100,1
left,NN,99,1
adding,VBG,99,1
display,NN,99,1
Site,NNP,99,1
credits,NNS,99,1
match-3,JJ,99,0
Wild,NNP,99,1
honor,NN,99,1
shooting,NN,99,1
era,NN,99,1
AWESOME,NNP,99,1
section,NN,99,1
items.Use,NN,99,0
unstoppable,JJ,99,1
Feel,NNP,99,1
enjoyable,JJ,99,1
SOCIAL,NNP,99,1
sizes,NNS,99,1
/,JJ,99,0
cause,VB,99,1
process,NN,99,1
retro,JJ,99,1
ranking,NN,99,1
forest,NN,99,1
Already,RB,99,1
Train,VB,99,1
fortune,NN,99,1
aircraft,NN,99,1
visit,VBP,99,1
throwing,VBG,99,1
Hollywood,NNP,98,1
OR,NNP,98,1
fill,VB,98,1
normal,JJ,98,1
Challenging,NNP,98,1
Gorgeous,JJ,98,1
materials,NNS,98,1
Video,NNP,98,1
incredibly,RB,98,1
faster,JJR,98,1
overcome,VB,98,1
updating,VBG,98,1
Look,VB,98,1
Birds,NNS,98,1
property,NN,98,1
Ninjas,NNP,98,1
twitter,NN,98,1
feel,VBP,98,1
//www.gameloft.com/eula/,JJ,98,0
Score,NNP,98,1
programs,NNS,98,1
Just,RB,98,1
dress,VB,98,1
remaining,VBG,98,1
bugs,NNS,98,1
build,VBP,98,1
banner,NN,97,1
minimum,JJ,97,1
AMAZING,NNP,97,1
ranking,VBG,97,1
Corporation,NNP,97,1
determine,VB,97,1
Shuffle,NNP,97,1
nails,NNS,97,1
Prison,NNP,97,1
ninja,NN,97,1
interest,NN,97,1
pets,NNS,97,1
BONUS,NNP,97,1
mighty,NN,97,1
fighters,NNS,97,1
Hours,NNP,97,1
pace,NN,97,1
FAQ,NNP,97,1
Lep,NNP,96,1
Trivia,NNP,96,1
meter,NN,96,1
exercise,VB,96,1
